Parking Lot Asset ID,Park Name,Parking Spaces,Handicap Parking Spaces,GIS Coordinate,Access
44888,THE GORE,,,"(-79.4078460418746,43.635868097778)",Public
32558,THISTLETOWN MULTI SERVICE CENTRE - Building Grounds,36,3,"(-79.5628913171584,43.7354049612886)",Public
32557,THISTLETOWN MULTI SERVICE CENTRE - Building Grounds,33,2,"(-79.5617117225414,43.7351293672799)",Public
49536,THOMSON MEMORIAL PARK,,,,
49537,THOMSON MEMORIAL PARK,205,,,
49538,THOMSON MEMORIAL PARK,67,,,
32483,THOMSON MEMORIAL PARK,91,3,"(-79.2559770817403,43.7581628933464)",Public
32484,THOMSON MEMORIAL PARK,92,5,"(-79.255082021076,43.758169980565)",Public
32485,THOMSON MEMORIAL PARK,37,2,"(-79.2551366049491,43.7587946891284)",Public
32486,TODMORDEN MILLS PARK,92,4,"(-79.3600723450851,43.6847521031527)",Public
32488,TOM RILEY PARK,186,5,"(-79.5198075920193,43.6489665894008)",
32487,TOM RILEY PARK,120,0,"(-79.5182429474222,43.6460544046093)",
44891,TORONTO INUKSHUK PARK,,,"(-79.4101084751387,43.6317354245693)",Private
44887,TORONTO INUKSHUK PARK,,,"(-79.4089624466067,43.6330199114887)",Staff
44684,TORONTO ISLANDS - ISLAND PARK,15,1,"(-79.3745932070179,43.6405154662805)",Staff
12428,TORYORK - MILVAN OUTDOOR PARKING LOT,,,,
32489,TRACE MANES PARK,57,1,"(-79.3679502899522,43.7059619893124)",Public
49539,TRETHEWEY PARK EAST,23,,,
32490,TRINITY BELLWOODS PARK,28,1,"(-79.4153110927944,43.6462976449405)",Public
32491,VALLEYFIELD PARK,30,0,"(-79.5341737171909,43.6944326355053)",Public
32492,VAN HORNE PARK,89,2,"(-79.3364693789055,43.7874018018208)",Public
32493,VERMONT SQUARE,,,"(-79.4154836930002,43.6711430214077)",Staff
32543,VICTORIA VILLAGE ARENA - Building Grounds,190,9,"(-79.315964500976,43.7233835214282)",Public
32494,VIEWMOUNT PARK,30,1,"(-79.4375594683596,43.7074985759273)",Public
49543,WANITA PARK,33,,,
49544,WARDEN HILLTOP COMMUNITY CENTRE - Building Grounds,22,2,,
32495,WARDEN WOODS PARK,35,,"(-79.2831173567496,43.6989294227524)",Public
32496,WEDGEWOOD PARK - ETOBICOKE,15,0,"(-79.5473419087347,43.6450110506877)",
32523,WEST ACRES SENIOR CENTRE - Building Grounds,20,2,"(-79.5709863009814,43.726075955902)",Public
32498,WEST DEANE PARK,45,2,"(-79.5581309863415,43.6614111360347)",Public
32497,WEST DEANE PARK,15,0,"(-79.5585590240492,43.6633354155758)",Public
49524,WEST DEANE PARK,,,,
32499,WEST HUMBER PARKLAND,110,,"(-79.55356214553,43.727461863704)",Public
32501,WEST ROUGE PARK,157,3,"(-79.125748588514,43.7918343377395)",Public
32502,WESTON LIONS PARK,112,0,"(-79.5190025986134,43.6982776559218)",Public
32503,WESTON LIONS PARK,112,0,"(-79.5174278155121,43.6986025596645)",Staff
