Parking Lot Asset ID,Park Name,Parking Spaces,Handicap Parking Spaces,GIS Coordinate,Access
32345,HIGH PARK,17,1,"(-79.4609022852895,43.640937948032)",Public
32346,HIGH PARK,70,3,"(-79.4597689354361,43.6426609387664)",Public
32347,HIGH PARK,8,3,"(-79.4592753118581,43.6429871561368)",Public
32348,HIGH PARK,20,1,"(-79.4548382174265,43.6402543880589)",Public
32349,HIGH PARK,28,4,"(-79.4659059463329,43.6516653911238)",Public
32339,HIGH PARK,,,,
32351,HIGH PARK,43,4,"(-79.466933200428,43.6506952881486)",Public
32337,HIGH PARK,16,1,"(-79.4647107571627,43.6504792841629)",Public
32336,HIGH PARK,14,,"(-79.4650767104818,43.6483794593505)",Public
32335,HIGH PARK,30,3,"(-79.4649063136346,43.6506528858935)",Public
32334,HIGH PARK,18,,"(-79.4666988322286,43.6453455286088)",Public
32333,HIGH PARK,124,6,"(-79.4653373342593,43.6457525642879)",Public
32332,HIGH PARK,10,,"(-79.4610496295744,43.6441023984255)",Staff
32331,HIGH PARK,10,,"(-79.461967517061,43.6438713883742)",Staff
32350,HIGH PARK,4,4,"(-79.466845050611,43.6509407719828)",Public
49518,HIGHLAND CREEK COMMUNITY PARK,30,2,,
49519,HIGHVIEW PARK,,3,,
32352,HIGHVIEW PARK,101,3,"(-79.2562620893407,43.7029845815007)",Public
32354,HINDER AREA,6,,"(-79.4391754962692,43.7622721029373)",Public
32353,HINDER AREA,15,,"(-79.4393082135093,43.7626534983774)",Public
32534,HORNER AVENUE SENIORS' CENTRE - Building Grounds,19,2,"(-79.5267029985287,43.6061420425178)",
32355,HUMBER BAY PARK EAST,85,,"(-79.4766420741226,43.6221302275284)",
32360,HUMBER BAY PARK WEST,208,8,"(-79.479421603679,43.6196589670274)",
32359,HUMBER BAY PARK WEST,28,,"(-79.4770010169864,43.6170670324798)",
32358,HUMBER BAY PARK WEST,22,,"(-79.477981511695,43.6148116444427)",
32356,HUMBER BAY PARK WEST,58,2,"(-79.4805587841208,43.6203861233453)",
32357,HUMBER BAY PARK WEST,42,,"(-79.4801506412466,43.6200955599145)",
32500,HUMBER SHEPPARD PARK,93,3,"(-79.5395952935023,43.7339614837003)",Public
32516,HUMBER VALLEY GOLF COURSE,9,,"(-79.5453556516163,43.7230576016863)",Staff
32517,HUMBER VALLEY GOLF COURSE,179,2,"(-79.5466966715794,43.7269822464963)",Members
32361,HUMBER VALLEY PARK,26,1,"(-79.5250561443008,43.6639130671963)",Public
49521,HUMBERTOWN PARK,8,,,
32362,HUMBERWOOD PARK,138,2,"(-79.620538046433,43.7278777614983)",Public
32363,IROQUOIS PARK,25,1,"(-79.2687996290674,43.8036457670033)",Public
32364,IRVING PAISLEY PARK,67,2,"(-79.3828986084322,43.7482125785386)",Public
32365,IRVING W. CHAPLEY PARK,15,,"(-79.4560852812946,43.7616189014865)",Public
32511,ISLINGTON PIONEER CEMETERY,9,2,"(-79.5303589856154,43.6477584537631)",Public
32366,JACK GOODLAD PARK,80,4,"(-79.2715675930523,43.7425657028833)",Public
32367,JAMES GARDENS,9,,"(-79.5172004931895,43.6708374559642)",Public
45142,JEFF HEALEY PARK,,,"(-79.4955596986474,43.6310386332859)",
32554,JENNER JEAN-MARIE COMMUNITY CENTRE - Building Grounds,49,2,"(-79.3429465571451,43.7031527720271)",Public
32368,JIMMIE SIMPSON PARK,4,2,"(-79.3448841806835,43.6601593860379)",Staff
49522,JOYCE TRIMMER PARK,,,,
32369,KEELESDALE SOUTH PARK,192,3,"(-79.4800938829281,43.6876349705642)",Public
32370,KING'S MILL PARK,42,2,"(-79.4909344031159,43.6421783934941)",
32371,KING'S MILL PARK,27,1,"(-79.4926324655843,43.6492740727756)",
32372,KING'S MILL PARK,23,1,"(-79.4922653561361,43.650102270881)",
32518,KIPLING YARD,67,2,"(-79.5208523533035,43.6087465215238)",
32373,KNOB HILL PARK,28,2,"(-79.2508757173534,43.7436780722112)",Public
32379,L'AMOREAUX HYDRO,68,,"(-79.3095468229221,43.8076988944576)",Public
32378,L'AMOREAUX NORTH PARK,61,3,"(-79.3034554194827,43.8121811568388)",Public
32376,L'AMOREAUX NORTH PARK,52,,"(-79.3045040287778,43.8103490456773)",Public
32377,L'AMOREAUX NORTH PARK,58,3,"(-79.3040737168135,43.8118400702114)",Public
32385,L'AMOREAUX SPORTS COMPLEX,133,2,"(-79.3035822516893,43.8060522237809)",Public
32384,L'AMOREAUX SPORTS COMPLEX,75,4,"(-79.3040014907085,43.8030151225649)",Public
32380,L'AMOREAUX SPORTS COMPLEX,68,,"(-79.3099802131183,43.8071404826362)",Public
32381,L'AMOREAUX SPORTS COMPLEX,58,4,"(-79.3096297234968,43.8065449491776)",Public
32382,L'AMOREAUX SPORTS COMPLEX,29,,"(-79.3089543156057,43.8061809109781)",Public
32383,L'AMOREAUX SPORTS COMPLEX,147,2,"(-79.3049103256631,43.8023676292937)",Public
32374,LAKESHORE BOULEVARD PARKLANDS,120,4,"(-79.4378068817756,43.632853476628)",Public
32375,LAMBTON PARK,82,2,"(-79.5065842139612,43.6647556014886)",Public
32535,LAWRENCE HEIGHTS COMMUNITY CENTRE - Building Ground,31,2,"(-79.4426877377734,43.7181624285749)",Public
32536,LAWRENCE HEIGHTS COMMUNITY CENTRE - Building Ground,31,2,"(-79.4419631872247,43.7183180452587)",Public
32386,LAWRENCE PARK AND RAVINE,32,1,"(-79.3978152160594,43.7199482380068)",Public
32561,LEASIDE MEMORIAL COMMUNITY GARDENS - Building Grounds,157,6,"(-79.3609013529173,43.7025622895432)",Public
32387,LEASIDE PARK,45,,"(-79.3503247910137,43.7025427367039)",Public
32388,LEDBURY PARK,19,1,"(-79.4246534847611,43.7271609585623)",Public
49540,MAIN SEWAGE TREATMENT PLAYGROUND,69,,,
32555,MAIN SQUARE COMMUNITY CENTRE - Building Grounds,3,5,"(-79.3005974516815,43.6870334111529)",Staff
32405,MAJOR ABBAS ALI PARK,90,2,"(-79.2303766194668,43.8040595014925)",Public
32389,MALVERN PARK,276,4,"(-79.216784057571,43.8090518576843)",Public
32392,MARIE CURTIS PARK,38,1,"(-79.5469189098441,43.5869605324385)",
32391,MARIE CURTIS PARK,63,2,"(-79.5426427044139,43.5864942172651)",
32390,MARIE CURTIS PARK,71,2,"(-79.5424425449997,43.5851435742491)",
32393,MARYVALE PARK,33,1,"(-79.3070440665745,43.7516522017934)",Public
32394,MASSEYGROVE PARK,90,3,"(-79.5891656345592,43.7340759799849)",Public
32395,MCCORMICK PARK,25,2,"(-79.4340090411644,43.6475121894636)",Public
49525,MCCOWAN DISTRICT PARK,76,,,
49532,MCCOWAN DISTRICT PARK,,,,
49531,MCCOWAN DISTRICT PARK,18,,,
32396,MCDAIRMID WOODS PARK,31,1,"(-79.266811140412,43.7803843450964)",Public
32399,MCGREGOR PARK,44,4,"(-79.2813004060104,43.7478907840755)",Public
32398,MCGREGOR PARK,48,4,"(-79.2800085475619,43.7480993436686)",Public
32397,MCGREGOR PARK,100,2,"(-79.2796278720525,43.7474556792001)",Public
32400,MEMORIAL PARK - NORTH YORK,91,2,"(-79.4195607929124,43.7040700494178)",Public
32402,MILLIKEN DISTRICT PARK,107,3,"(-79.2738418293324,43.8292499640883)",Public
32401,MILLIKEN DISTRICT PARK,310,4,"(-79.2707651238335,43.8305524158169)",Public
32403,MITCHELL FIELD PARK,44,2,"(-79.4092981909577,43.7743598551758)",Public
32404,MITCHELL FIELD PARK,21,2,"(-79.407867742432,43.7749371921732)",Public
49526,MOATFIELD FARM PARK,,,,
49542,MOATFIELD FARM PARK,10,,,
44902,MOCCASIN TRAIL PARK,30,,"(-79.3333272789702,43.7325180512846)",Public
32408,MORNINGSIDE PARK,128,6,"(-79.195512912898,43.7792759618632)",Public
32407,MORNINGSIDE PARK,67,2,"(-79.2009201556499,43.7780569841083)",Public
32406,MORNINGSIDE PARK,74,2,"(-79.1931106181613,43.7791498683087)",Public
32409,MORNINGSIDE SERVICE YARD - Building Grounds,54,,"(-79.1920550108255,43.7777872710709)",Staff
32410,MOSS PARK,14,1,"(-79.3700940045127,43.6547497448117)",Public
32537,MOUNT DENNIS COMMUNITY HALL - Building Grounds,6,1,"(-79.4899205742877,43.6876930919357)",Staff
32563,NASHDENE YARD,200,4,"(-79.258069064652,43.8180847722605)",Staff
49527,NEILSON PARK - ETOBICOKE,84,3,"(-79.5667774131002,43.6296227959773)",Public
32411,NEILSON PARK - SCARBOROUGH,10,1,"(-79.225807214227,43.8134371192398)",Public
32412,NEILSON PARK - SCARBOROUGH,166,4,"(-79.225612008255,43.8144838562612)",Public
44822,NEW TORONTO SENIORS' CENTRE - Building Grounds,33,,"(-79.5011722374936,43.6010463585027)",
32564,NORSEMAN COMMUNITY SCHOOL AND POOL - Building Grounds,40,2,"(-79.5172295645465,43.6344252123597)",Public
32413,NORTH KIPLING PARK,80,5,"(-79.5851268643894,43.7515814597339)",Public
32565,NORTHLINE PARKS YARD - Building Grounds,69,,"(-79.3165333543496,43.7139745687348)",Staff
32569,NORTHLINE PARKS YARD - Building Grounds,15,,"(-79.3175491504352,43.7120168766873)",Public
32568,NORTHLINE PARKS YARD - Building Grounds,15,,"(-79.3171159657133,43.7128248618649)",Public
32566,NORTHLINE PARKS YARD - Building Grounds,15,,"(-79.3166263979682,43.7132430161786)",Staff
32567,NORTHLINE PARKS YARD - Building Grounds,15,,"(-79.316468217842,43.713433025658)",Staff
32538,NORTHWOOD COMMUNITY CENTRE - Building Grounds,35,3,"(-79.5001483316133,43.7451698607989)",Public
32539,NORTHWOOD COMMUNITY CENTRE - Building Grounds,41,3,"(-79.500779655517,43.7454185893043)",Public
32415,NORTHWOOD PARK,89,4,"(-79.4975230864372,43.7463900807723)",Public
32416,OAKDALE PARK,34,3,"(-79.5138457512673,43.7478908706717)",Public
32544,OAKRIDGE COMMUNITY RECREATION CENTRE - Building Grounds,64,2,"(-79.2836702396019,43.6944029839523)",Public
49528,OAKRIDGE PARK,,,,
32417,ORIOLE PARK - NORTH YORK,111,3,"(-79.3516627328158,43.7818891377293)",Public
44863,ORIOLE YARD,11,,"(-79.3653662384636,43.7683165848515)",Staff
32547,OTTER CREEK CENTRE - Building Grounds,24,1,"(-79.410378166115,43.7208667886013)",Private
32418,OURLAND PARK,33,1,"(-79.5080189729888,43.6151912687078)",
32419,PARK LAWN PARK,32,1,"(-79.4951168979835,43.6389128708417)",
32556,PARMA PARK,12,2,"(-79.3010204311244,43.7176685365815)",Public
32420,PELMO PARK,65,2,"(-79.5191581692828,43.7143664620568)",Public
32422,PINE POINT PARK,40,,"(-79.5405397707632,43.7140868850145)",Public
32421,PINE POINT PARK,24,,"(-79.5487441259772,43.7115974172167)",Public
32423,PINE POINT PARK,151,4,"(-79.5429395470495,43.7130890018664)",Public
32540,PORT UNION COMMUNITY RECREATION CENTRE - Building Grounds,112,8,"(-79.1394061000167,43.7795331679043)",Public
32424,PRAIRIE DRIVE PARK,35,1,"(-79.2842946192348,43.69709138126)",Public
